index,song,artist,views,n_verses,n_rows,lyric,clean_lyric,genre,directory
0, Stone Cold Break, 10-FEET,  645, 5,19.0,"[""So always let it be more light. now you're in the dark."", 'So always let it be more light. so always let it be more light.', ""So always let it be more light. now you're in the dark."", '\n', 'If we could be kind to all of our neighbours, everyone met all over this planet.', 'Then all the wars could stop for once and all.', 'Everyone could just keep on hold in hand.', 'If there is really a god, everyone around the world could be equal.', 'How about those things? tell me what you trink?', 'The unreasonable, how can you explain?', '\n', 'Stone cold break. stone cold break. stone cold break.', 'Stone cold break and give it a bash, and turn it up.', 'Give it a fly, say stone cold break.', 'Give it a bash. give it a fly. give it a buck. turn it up.', '\n', 'So always let it be more light. so always let it be more light.', ""So always let it be more light. now you're in the dark."", 'So always let it be more light. so always let it be more light.', ""So always let it be more light. now you're in the dark."", '\n', 'So always let it be more light. so always let it be more light.', '\n']",so always let it be more light now youre in the dark so always let it be more light so always let it be more light so always let it be more light now youre in the dark  if we could be kind to all of our neighbours everyone met all over this planet then all the wars could stop for once and all everyone could just keep on hold in hand if there is really a god everyone around the world could be equal how about those things tell me what you trink the unreasonable how can you explain  stone cold break stone cold break stone cold break stone cold break and give it a bash and turn it up give it a fly say stone cold break give it a bash give it a fly give it a buck turn it up  so always let it be more light so always let it be more light so always let it be more light now youre in the dark so always let it be more light so always let it be more light so always let it be more light now youre in the dark  so always let it be more light so always let it be more light ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1105878_.txt
0, Little More Than Before (slip Out), 10-FEET,  763, 5,14.0,"[""I don't know since when I changed to such a cold-hearted guy"", 'I have to warm this frozen icy lonely heart to thaw', 'I like being wrapped with warmness more than anything else for sure', ""I'm gonna make my coming days to be filled with laughter and joy"", '\n', ""I let myself down that I'm more cruel than I thought I would be"", ""I'm just a loser who ends up by caring for my soul"", ""I don't give my heart to no one cause i don't wanna waste my time"", 'I tried to love this loneliness to slip out of this lonesome hole', '\n', ""Sorrow is what I hate but it's grown my sensations"", 'Regrets taught me how to make any hard decisions', ""Peace is always by my side but I've never felt it once"", 'Love is not the word only for the sweet romance', '\n', ""Well I'm scared, scared, scared, scared to death"", ""And I'm scared to keep on going on my way"", ""Well I'm scared, scared, scared, scared to death"", ""And I'll tell myself I'm special till the end"", '\n', 'Recalling my torn, broken, aching heart of these long days', 'And all the memories I wanted to forget for making leaps', 'Recalling, aching, breaking, crying, making sure to me', 'And I take all and grin at my future on the way', '\n']",i dont know since when i changed to such a cold-hearted guy i have to warm this frozen icy lonely heart to thaw i like being wrapped with warmness more than anything else for sure im gonna make my coming days to be filled with laughter and joy  i let myself down that im more cruel than i thought i would be im just a loser who ends up by caring for my soul i dont give my heart to no one cause i dont wanna waste my time i tried to love this loneliness to slip out of this lonesome hole  sorrow is what i hate but its grown my sensations regrets taught me how to make any hard decisions peace is always by my side but ive never felt it once love is not the word only for the sweet romance  well im scared scared scared scared to death and im scared to keep on going on my way well im scared scared scared scared to death and ill tell myself im special till the end  recalling my torn broken aching heart of these long days and all the memories i wanted to forget for making leaps recalling aching breaking crying making sure to me and i take all and grin at my future on the way ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1528405_.txt
0, Islands In The Stream, 10-FEET,  245, 4,52.0,"['Baby when i met you there', 'Was peace unknown', 'I set out to get you with', 'A fine tooth comb', 'I was soft inside there', 'Was sumthen goes on', ""You do sumthen to me that i can't explain"", 'Hold me closer and i feel no pain', 'Every beat of my heart we', 'Got sumthen goen on', 'Tender love is blind it', 'Requires a dedication', 'All this love we feel', 'Needs no conversation', 'Rely on eachother', 'Maken love with eachother', '\n', 'Islands in the stream', 'That is what we are', 'No one in between', 'How could we be wrong', 'Sail away with me', 'To another world', 'We can rely on eachother', 'From one lover to another', '\n', 'I cant live without you', 'When your love is gone', 'Everything is nothing', 'When you got no woman', 'And you just walk in the night slowly', 'Losen sight of the real thing', ""That won't happen to us"", 'And we got no doubt', 'Too deep in love and we', 'Got no way out and the', 'Message is clear this could', 'Be the year of the real thing', 'No more will you cry', 'Baby i will hurt you never', 'We started in as one', 'In love forever we rely on', 'Eachother', 'Maken love with eachother', '\n', 'Islands in the stream', 'That is what we are', 'No one in between', 'How could we be wrong', 'Sail away with me', 'To another world', 'We can rely on eachother', 'From one lover to another', '\n']",baby when i met you there was peace unknown i set out to get you with a fine tooth comb i was soft inside there was sumthen goes on you do sumthen to me that i cant explain hold me closer and i feel no pain every beat of my heart we got sumthen goen on tender love is blind it requires a dedication all this love we feel needs no conversation rely on eachother maken love with eachother  islands in the stream that is what we are no one in between how could we be wrong sail away with me to another world we can rely on eachother from one lover to another  i cant live without you when your love is gone everything is nothing when you got no woman and you just walk in the night slowly losen sight of the real thing that wont happen to us and we got no doubt too deep in love and we got no way out and the message is clear this could be the year of the real thing no more will you cry baby i will hurt you never we started in as one in love forever we rely on eachother maken love with eachother  islands in the stream that is what we are no one in between how could we be wrong sail away with me to another world we can rely on eachother from one lover to another ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1528406_.txt
0, River, 10-FEET,  345, 7,41.0,"[""It's just a waste of time if you can't do anymore"", 'Do your best and lay back and leave the rest to God', ""Imi to gen'in to guuzen ga koko ni yorisoi hitotsu ni naru"", 'Toki nagare yuku koto ga kesshite toshioi TAKE koto ja nai', 'Kimi ga tada iru dake de ikigai ni naru hito ga iru koto', 'Kiku dake de kiku dake de tsukisasaru uta to', 'Kareru made nagare yuku kawa ?', '\n', '*Haha wa nai ta te ni fure nai ta', '""Yokatta"" to hitokoto mata nai ta', 'Kimi wa nai ta shinshin to nai ta', '""Ureshii"" to hitokoto mata nai ta', 'Boku wa nai ta tadatada nai ta', 'Ki ga tsuku to hitori de nai te i ta', 'Mukashi itta ano basho ni itta ano RIVER?*', '\n', ""It's just a waste of time if you can't do anymore"", 'Do your best and lay back and leave the rest to God', ""Imi to gen'in to guuzen ga koko ni yorisoi hitotsu ni naru"", 'Toki nagare yuku koto ga kesshite toshioi TAKE koto ja nai', 'Kimi ga tada iru dake de ikigai ni naru hito ga iru koto', 'Kiku dake de kiku dake de tsukisasaru uta to', 'Kareru made nagare yuku kawa', '\n', '*Refrão*', '\n', 'Tasuke te no sono hitokoto wa', 'Boku no sonzai o hitei suru mono', 'Sonna chikai tonda kanchigai', 'Dare mo hitori de iki te ike nai', 'Tasuke motome ta kimi ni motome ta', 'Soshite jibun ni mo mata motomeru', 'Mada modoreru mata otozureru', 'Ano RIVER?', '\n', '*Refrão*', '\n', 'Haha wa nai ta te ni fure nai ta', '""Kitto daijoubu"" to mata nai ta', 'Kimi wa nai ta shinshin to nai ta', '""Boku ga tsui te iru"" to mata nai ta', 'Boku wa nai ta tadatada nai ta', 'Ki ga tsuku to hitori de nai te i ta', 'Mukashi itta ano basho ni itta ano RIVER?', '\n']",its just a waste of time if you cant do anymore do your best and lay back and leave the rest to god imi to genin to guuzen ga koko ni yorisoi hitotsu ni naru toki nagare yuku koto ga kesshite toshioi take koto ja nai kimi ga tada iru dake de ikigai ni naru hito ga iru koto kiku dake de kiku dake de tsukisasaru uta to kareru made nagare yuku kawa   *haha wa nai ta te ni fure nai ta yokatta to hitokoto mata nai ta kimi wa nai ta shinshin to nai ta ureshii to hitokoto mata nai ta boku wa nai ta tadatada nai ta ki ga tsuku to hitori de nai te i ta mukashi itta ano basho ni itta ano river*  its just a waste of time if you cant do anymore do your best and lay back and leave the rest to god imi to genin to guuzen ga koko ni yorisoi hitotsu ni naru toki nagare yuku koto ga kesshite toshioi take koto ja nai kimi ga tada iru dake de ikigai ni naru hito ga iru koto kiku dake de kiku dake de tsukisasaru uta to kareru made nagare yuku kawa  *refrão*  tasuke te no sono hitokoto wa boku no sonzai o hitei suru mono sonna chikai tonda kanchigai dare mo hitori de iki te ike nai tasuke motome ta kimi ni motome ta soshite jibun ni mo mata motomeru mada modoreru mata otozureru ano river  *refrão*  haha wa nai ta te ni fure nai ta kitto daijoubu to mata nai ta kimi wa nai ta shinshin to nai ta boku ga tsui te iru to mata nai ta boku wa nai ta tadatada nai ta ki ga tsuku to hitori de nai te i ta mukashi itta ano basho ni itta ano river ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1608254_.txt
0, Shoes, 10-FEET,  163, 8,22.0,"['I came across that scenery, it brought back those bad times.', ""The days I wanted to escape and run away from crying are out there somewhere I don't wanna find."", '\n', 'I miss you. Ah ...', '\n', '(ai gakoreppocchimo naku te hakujou na (aa) kirehashi ga jitsuha hontou no boku nanda) tte', 'Me wo sama shite sabishi sani odoroi te akari mo tsuke zu nai teta', '\n', 'I came across that scenery, it brought back those bad times.', ""The days I wanted to escape and run away from crying are out there somewhere I don't wanna find."", '\n', 'I miss you. Ah ...', '\n', 'Ai takutemo kanawa nu wakare niha (aa) naki saken dattemou todoka nai', 'Kokoro gasayonara ie ta toki ai wo kome te naki waratta', '\n', 'I miss you. Ah ...', '\n', '(ai gakoreppocchimo naku te hakujou na (aa) kirehashi ga jitsuha hontou no boku nanda) tte', 'Me wo sama shite sabishi sani odoroi te akari mo tsuke zu nai teta', 'Ai takutemo kanawa nu wakare niha (aa) naki saken de yon datte todoka nai', 'Kokoro gasayonara ie ta toki ai wo kome te naki waratta', 'Ai wo kome te naki waratta ai wo kome te naki waratta', '\n']",i came across that scenery it brought back those bad times the days i wanted to escape and run away from crying are out there somewhere i dont wanna find  i miss you ah   (ai gakoreppocchimo naku te hakujou na (aa) kirehashi ga jitsuha hontou no boku nanda) tte me wo sama shite sabishi sani odoroi te akari mo tsuke zu nai teta  i came across that scenery it brought back those bad times the days i wanted to escape and run away from crying are out there somewhere i dont wanna find  i miss you ah   ai takutemo kanawa nu wakare niha (aa) naki saken dattemou todoka nai kokoro gasayonara ie ta toki ai wo kome te naki waratta  i miss you ah   (ai gakoreppocchimo naku te hakujou na (aa) kirehashi ga jitsuha hontou no boku nanda) tte me wo sama shite sabishi sani odoroi te akari mo tsuke zu nai teta ai takutemo kanawa nu wakare niha (aa) naki saken de yon datte todoka nai kokoro gasayonara ie ta toki ai wo kome te naki waratta ai wo kome te naki waratta ai wo kome te naki waratta ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1624557_.txt
0, Just a False! Just a Hole!, 10-FEET,  137, 9,28.0,"[""It's just a false. Just a hole. Just a false. Just a hole"", '\n', 'Everything I really want me to be', ""I'm lookin' at keys like it's lookin' cause I want me to be"", 'The greed is making me high. On and on !', ""It's just a false. Just a hole. Just a false. Just a hole"", '\n', ""I'm singin' and keepin' you and a dirty play at the Freedom Studio !"", ""I'm closin' the TV show and the final actions set on MAC !"", '\n', 'I wanna kill you. You wanna kill me. I wanna kill you. You wanna kill me', 'I wanna kill you. You wanna kill me. I wanna kill you. I wanna kill you', '\n', 'Never is a long day. Never say die ! Never is a long day. Never say die !', 'Never is a long day. Never say die ! I wanna kill you', '\n', 'I keep in with you. Keep it away. Keep it away from reality', 'I keep in with you. Keep it away. Keep it away from reality', 'I keep in with you. Keep it away. Keep it away from reality', 'I keep in with you. Keep it away. Keep it away from reality', '\n', 'I wanna kill you. You wanna kill me. I wanna kill you. You wanna kill me', 'I wanna kill you. You wanna kill me. I wanna kill you. I wanna kill you', '\n', 'Never is a long day. Never say die ! Never is a long day. Never say die !', 'Never is a long day. Never say die ! I wanna kill you', '\n', 'I keep in with you. Keep it away. Keep it away from reality', 'I keep in with you. Keep it away. Keep it away from reality', 'I keep in with you. Keep it away. Keep it away from reality', 'I keep in with you. Keep it away. Keep it away from reality', 'Na Na Na Na Na...', '\n']",its just a false just a hole just a false just a hole  everything i really want me to be im lookin at keys like its lookin cause i want me to be the greed is making me high on and on  its just a false just a hole just a false just a hole  im singin and keepin you and a dirty play at the freedom studio  im closin the tv show and the final actions set on mac   i wanna kill you you wanna kill me i wanna kill you you wanna kill me i wanna kill you you wanna kill me i wanna kill you i wanna kill you  never is a long day never say die  never is a long day never say die  never is a long day never say die  i wanna kill you  i keep in with you keep it away keep it away from reality i keep in with you keep it away keep it away from reality i keep in with you keep it away keep it away from reality i keep in with you keep it away keep it away from reality  i wanna kill you you wanna kill me i wanna kill you you wanna kill me i wanna kill you you wanna kill me i wanna kill you i wanna kill you  never is a long day never say die  never is a long day never say die  never is a long day never say die  i wanna kill you  i keep in with you keep it away keep it away from reality i keep in with you keep it away keep it away from reality i keep in with you keep it away keep it away from reality i keep in with you keep it away keep it away from reality na na na na na ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1624558_.txt
0, Lion, 10-FEET,  130, 11,48.0,"['Cry for love Cry for yourself', 'Cry for love Cry for yourself', '\n', 'Tatakau koto uso wo tsuku koto', 'Samishii koto hohoemu tsuyosa', 'Kesenai hodo kanashii dekigoto', 'Kimi wa yatto waratta', '\n', 'Sorosoro buttonde FLY ! Naitenjyanai !', 'Tatakau kesshin wa dekitandesukai ?', 'Shousan wa nai RISKY na TRY', 'Kyouran na STYLE no chousensha', 'Tsune ni furi na tachiba de idondeke', 'Imakoso jinsei no domannaka', 'Hoeru Wow... (Wow...)', 'Kusarikiru mae ni me wo samase', '\n', 'Cry for love Cry for yourself', 'Cry for love Cry for yourself', '\n', 'Ittai nanno tame no uso nanda !', 'Mou boku wa dokonimo inainda', 'Nanno tame ni ikiteirunndarou ? Sakenda', 'Waratte ikiru koto ni tsukarete', 'Hito wa kodoku na ikimono datte', 'Yasashisa to yowasa no hazama de sakenda', '\n', 'Yasashii hito omoiyaru hito ichiban kanashii hito', 'Tatta hitori tatakattekita kimi wa yatto waratta', '\n', 'Takaga suubun dake no haji to yuuki de', 'Omae no shourai ga kawarunara', 'Hoero Wow... (Wow...)', 'Ai ni michiafureta ashita wo', '\n', 'Cry for love Cry for yourself', 'Cry for love Cry for yourself', '\n', 'Ittai nanno tame no uso nanda !', 'Mou boku wa dokonimo inainda', 'Nanno tame ni ikiteirundarou ? Sakenda', '\n', 'Kokoro no katachi ga kawattemo', 'Subete wo gisei ni shitemo ii', 'Soko ni ai to anata ga arunara sakende', '\n', 'Sakende...', '\n']",cry for love cry for yourself cry for love cry for yourself  tatakau koto uso wo tsuku koto samishii koto hohoemu tsuyosa kesenai hodo kanashii dekigoto kimi wa yatto waratta  sorosoro buttonde fly  naitenjyanai  tatakau kesshin wa dekitandesukai  shousan wa nai risky na try kyouran na style no chousensha tsune ni furi na tachiba de idondeke imakoso jinsei no domannaka hoeru wow (wow) kusarikiru mae ni me wo samase  cry for love cry for yourself cry for love cry for yourself  ittai nanno tame no uso nanda  mou boku wa dokonimo inainda nanno tame ni ikiteirunndarou  sakenda waratte ikiru koto ni tsukarete hito wa kodoku na ikimono datte yasashisa to yowasa no hazama de sakenda  yasashii hito omoiyaru hito ichiban kanashii hito tatta hitori tatakattekita kimi wa yatto waratta  takaga suubun dake no haji to yuuki de omae no shourai ga kawarunara hoero wow (wow) ai ni michiafureta ashita wo  cry for love cry for yourself cry for love cry for yourself  ittai nanno tame no uso nanda  mou boku wa dokonimo inainda nanno tame ni ikiteirundarou  sakenda  kokoro no katachi ga kawattemo subete wo gisei ni shitemo ii soko ni ai to anata ga arunara sakende  sakende ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1624559_.txt
0, Super Stomper, 10-FEET,  2.626, 10,43.0,"[""Jump around! Jumping free! It's all depends on you!"", 'Jump around! Jumping free! Say! Yeah! Yeah!', ""Jump around! Jumping free! It's all depends on you!"", 'Jump around! Jumping free! Say! Yeah! Yeah!', '\n', ""If our hearts weren't stained black"", 'Hate and anger would be a measure', 'Of the people we meet each day', ""There's no need to defy, there's no need to kill"", 'Lies, bluffs make them the truth', 'Deal with the small before the big', 'No need to always be such a good boy or such a girl, just blow!', '\n', 'No! Goody-two-shoes conscience-Go! Just stay outta my way!', ""Go! Get outta my way! Oh, I've got so much further to go!"", 'No! Goody-two-shoes conscience-Go! Just stay outta my way!', 'Go! Get outta my way! Oh, everybody rise up! Yeah!', '\n', 'I might go crazy', ""My heart won't even move at all"", ""It's like memories just start growing so bright"", 'I might go crazy', 'The future is so scary now', 'Maybe one day (maybe one day)', 'Can overcome (can overcome)', '\n', ""Jump around! Jumping free! It's all depends on you!"", 'Jump around! Jumping free! Say! Yeah! Yeah!', ""Jump around! Jumping free! It's all depends on you!"", 'Jump around! Jumping free! Say! Yeah! Yeah!', '\n', ""If our hearts weren't stained black"", 'Hate and anger would be a measure', 'Of the people we meet each day', ""There's no need to defy, there's no need to kill"", 'Lies, bluffs make them the truth', 'Deal with the small before the big', 'No need to always be such a good boy or such a girl, just blow!', '\n', 'No! Goody-two-shoes conscience-Go! Just stay outta my way!', ""Go! Get outta my way! Oh, I've got so much further to go!"", 'No! Goody-two-shoes conscience-Go! Just stay outta my way!', 'Go! Get outta my way! Oh, everybody rise up! Yeah!', '\n', 'I might go crazy', ""My heart won't even move at all"", ""It's like memories just start growing so bright"", 'I might go crazy', 'The future is so scary now', 'Maybe one day (maybe one day)', 'Can overcome (can overcome)', '\n', ""Jump around! Jumping free! It's all depends on you!"", 'Jump around! Jumping free! Say! Yeah! Yeah!', ""Jump around! Jumping free! It's all depends on you!"", 'Jump around! Jumping free! Say! Yeah! Yeah!', '\n', 'Jump around! Yeah!', '\n']",jump around jumping free its all depends on you jump around jumping free say yeah yeah jump around jumping free its all depends on you jump around jumping free say yeah yeah  if our hearts werent stained black hate and anger would be a measure of the people we meet each day theres no need to defy theres no need to kill lies bluffs make them the truth deal with the small before the big no need to always be such a good boy or such a girl just blow  no goody-two-shoes conscience-go just stay outta my way go get outta my way oh ive got so much further to go no goody-two-shoes conscience-go just stay outta my way go get outta my way oh everybody rise up yeah  i might go crazy my heart wont even move at all its like memories just start growing so bright i might go crazy the future is so scary now maybe one day (maybe one day) can overcome (can overcome)  jump around jumping free its all depends on you jump around jumping free say yeah yeah jump around jumping free its all depends on you jump around jumping free say yeah yeah  if our hearts werent stained black hate and anger would be a measure of the people we meet each day theres no need to defy theres no need to kill lies bluffs make them the truth deal with the small before the big no need to always be such a good boy or such a girl just blow  no goody-two-shoes conscience-go just stay outta my way go get outta my way oh ive got so much further to go no goody-two-shoes conscience-go just stay outta my way go get outta my way oh everybody rise up yeah  i might go crazy my heart wont even move at all its like memories just start growing so bright i might go crazy the future is so scary now maybe one day (maybe one day) can overcome (can overcome)  jump around jumping free its all depends on you jump around jumping free say yeah yeah jump around jumping free its all depends on you jump around jumping free say yeah yeah  jump around yeah ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1624560_.txt
0, Recollection, 10-FEET,  116, 6,32.0,"['Aa kanawanakatta yume aa', 'Mezamete ma mo naku omoidasaseru suigara no kazu', 'Mado no sukima kara nozoku asa asagiri de kao wo arau akaku hareta mabuta wo', 'Itsu ni naku taemanaku haki mo naku hana zuruzuru iwashite naku', 'Zenbu nagedashitai sugu akirametai tanin no sei ni shite nigedashitai', 'Tada hitotsu ki ni naru yume ga yume de aritsuzukeru', 'Shikashi mirai no ore ga ore ni iu kono ore no yume kanaeta no wa YOU !', '\n', 'Aa kanawanakatta yume aa kawaranakatta yume', 'Aa kanaikitta yume aa kawarikitta yume', 'Tsutaiochita kazu korekara hohoemu NEW LIFE !', '\n', 'Mezamete ma mo naku omoidasaseru suigara no kazu', 'Mado no sukima kara nozoku asa asagiri de kao wo arau kaku hareta mabuta wo', 'Hitori ni natte omoidasu hibi yo ga yo nara ore mo shakaijin', 'Ano shunkan ni chokkan de koudou joukyou henka genzai genkai de houkou !', 'Nani hitotsu kawaranai tayorinai korinai menmen', 'Oyaji ni natta ore ga iu kono ore no yume kanaeta no wa YOU !', '\n', 'Aa kanawanakatta yume aa kawaranakatta yume', 'Aa kanaikitta yume aa kawarikitta yume', 'Waratta kazu dake tsutaiochiteyuku NEW LIFE !', '\n', 'Ki wo ushinau youna kanashisa to kitto itsuka wa umaku yareruto', 'Setsunasa to kuyashisa ga tokiori mi wo teishite koufuku ataeru', 'Ki wo ushinauyouna kanashisa to kitto itsuka wa umaku yareruto', 'Kaze ni mukashi no hibi kaoru toki', '\n', 'Aa kanawanakatta yume aa kawaranakatta yume', 'Aa kanaikitta yume aa kawarikitta yume', 'Tsutaiochita kazu korekara hohoemu NEW LIFE ! NEW LIFE... !', '\n']",aa kanawanakatta yume aa mezamete ma mo naku omoidasaseru suigara no kazu mado no sukima kara nozoku asa asagiri de kao wo arau akaku hareta mabuta wo itsu ni naku taemanaku haki mo naku hana zuruzuru iwashite naku zenbu nagedashitai sugu akirametai tanin no sei ni shite nigedashitai tada hitotsu ki ni naru yume ga yume de aritsuzukeru shikashi mirai no ore ga ore ni iu kono ore no yume kanaeta no wa you   aa kanawanakatta yume aa kawaranakatta yume aa kanaikitta yume aa kawarikitta yume tsutaiochita kazu korekara hohoemu new life   mezamete ma mo naku omoidasaseru suigara no kazu mado no sukima kara nozoku asa asagiri de kao wo arau kaku hareta mabuta wo hitori ni natte omoidasu hibi yo ga yo nara ore mo shakaijin ano shunkan ni chokkan de koudou joukyou henka genzai genkai de houkou  nani hitotsu kawaranai tayorinai korinai menmen oyaji ni natta ore ga iu kono ore no yume kanaeta no wa you   aa kanawanakatta yume aa kawaranakatta yume aa kanaikitta yume aa kawarikitta yume waratta kazu dake tsutaiochiteyuku new life   ki wo ushinau youna kanashisa to kitto itsuka wa umaku yareruto setsunasa to kuyashisa ga tokiori mi wo teishite koufuku ataeru ki wo ushinauyouna kanashisa to kitto itsuka wa umaku yareruto kaze ni mukashi no hibi kaoru toki  aa kanawanakatta yume aa kawaranakatta yume aa kanaikitta yume aa kawarikitta yume tsutaiochita kazu korekara hohoemu new life  new life  ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1624561_.txt
0, HEY!, 10-FEET,  173, 7,37.0,"['Gradually, I came to realize I was growing up all dull and boring', 'Gradually, I came to realize I was growing up all dull and boring', 'Growing up all dull and boring', '\n', 'Gradually, I noticed that I was turning into such a boring grown-up', '(grown-up)', 'Always saying, ""Not like myself (myself) today""', 'There is always another side of myself within my mind', 'One I like is the big, gentle-minded one, so pure in itself', '(so pure in itself)', 'One I hate\'s a ""sarcastic fool"" to me', '""sarcastic fool ""sarcastic fool"" ""sarcastic fool""to me', '\n', 'The one I like and the one I really hate,', 'There have always been two of myself', 'Thought about it once on a rainy day', 'The one I like is myself from the old day', 'The one I hate is myself of the present', 'Thought about it once on a rainy day', '\n', 'Mukashi no kimi ga ima kimi ni kiku ""Naze itsumo uso wo tsukuno ? ""', 'Sukoshizutsu tsumaranai otona ni aa chikazuiteiku', '\n', ""Everybody around me are nice and I'm the only one no good"", '(the only one no good)', 'Always saying ""In a moment or two""', '""In a moment or two. "" ""In a moment or two""', ""Can't look in the mirror"", 'Hate myself. Putting other at fault about my worsening character', '(worsening character)', 'Very cold to others ""thinking that you""', '""thinking that you"" ""thinking that you""', 'Want to show your good side', '\n', 'Jump up ! Right now ! ...', '\n', 'Why you always lie to you ? Why you always lie to you ?', 'Why you always lie to you ? To yourself...', '\n']",gradually i came to realize i was growing up all dull and boring gradually i came to realize i was growing up all dull and boring growing up all dull and boring  gradually i noticed that i was turning into such a boring grown-up (grown-up) always saying not like myself (myself) today there is always another side of myself within my mind one i like is the big gentle-minded one so pure in itself (so pure in itself) one i hate\s a sarcastic fool to me sarcastic fool sarcastic fool sarcastic foolto me  the one i like and the one i really hate there have always been two of myself thought about it once on a rainy day the one i like is myself from the old day the one i hate is myself of the present thought about it once on a rainy day  mukashi no kimi ga ima kimi ni kiku naze itsumo uso wo tsukuno   sukoshizutsu tsumaranai otona ni aa chikazuiteiku  everybody around me are nice and im the only one no good (the only one no good) always saying in a moment or two in a moment or two  in a moment or two cant look in the mirror hate myself putting other at fault about my worsening character (worsening character) very cold to others thinking that you thinking that you thinking that you want to show your good side  jump up  right now    why you always lie to you  why you always lie to you  why you always lie to you  to yourself ],alternativo,E:/coding/github/webscraping_letras/data/raw/lyrics\alternativo___10-feet____10-feet_1624562_.txt
